id,target
3233,0
2432,1
245,1
465,1
2419,0
4655,0
3633,0
2893,0
1315,0
2722,0
2137,0
3875,1
3422,0
3032,0
4605,0
1814,0
1957,0
296,1
1307,0
455,1
3582,1
393,0
3372,1
3326,1
4585,0
3605,0
36,1
2228,1
1006,0
4452,0
2925,0
2549,1
2236,1
2766,0
1356,0
687,0
262,1
3318,1
2979,0
1942,0
4116,0
418,1
3177,0
1083,0
2920,0
3464,1
412,0
179,0
3286,0
3917,1
2649,0
3498,0
3949,0
4346,0
2753,0
3983,1
4437,1
285,1
1687,0
2039,1
3871,1
4518,0
72,1
4516,0
1326,0
2847,0
91,0
2536,0
2748,0
3986,1
1702,1
3503,1
3322,1
3548,1
2505,0
3122,0
58,0
2965,0
943,0
796,0
545,0
2295,0
4563,0
1370,1
3206,1
4072,0
917,1
3970,0
3160,0
4620,1
1918,0
890,1
2056,0
3971,0
1024,0
4565,0
3440,0
4141,0
4256,0
2856,0
378,0
3705,0
2702,0
1254,0
1528,1
3786,1
1458,0
87,0
482,0
2657,1
918,1
2775,0
1218,1
810,1
2321,0
3613,0
605,1
4539,0
4226,1
4607,0
2911,0
2486,1
846,0
3967,0
203,1
1940,0
4284,1
3045,0
3559,0
2881,1
2617,0
3912,1
256,0
1423,0
1229,1
2967,0
4457,0
619,0
4608,1
1171,1
1639,1
4697,0
4671,1
4512,1
3733,1
1338,1
1838,1
157,1
1768,1
616,0
1632,1
3783,0
2386,0
1344,1
1397,0
27,1
4691,0
301,0
3349,0
1750,0
2841,1
425,0
1465,0
2254,0
3869,0
4124,0
2971,1
102,0
2328,0
3145,0
3192,0
451,0
765,0
4379,0
3245,1
536,0
1439,1
2521,1
594,0
2441,1
3485,0
544,0
2904,0
3703,0
2656,0
1636,0
3123,0
3256,1
3523,0
1180,0
29,0
783,1
1812,0
714,1
3927,0
85,1
1996,0
4704,1
1886,1
2958,0
4714,1
4139,1
1521,0
2684,1
4008,1
376,0
2791,0
3723,0
4043,0
4660,0
2232,0
4688,0
1986,0
3084,1
2051,0
2030,0
61,1
730,0
220,0
90,0
1324,1
2499,0
50,0
4522,0
1039,0
3831,0
3696,1
3510,0
4702,1
207,0
4597,0
254,0
1219,0
4361,0
1191,0
1991,1
4162,0
863,0
2222,0
3678,1
1089,0
2126,0
3494,1
2706,0
327,0
2512,0
4122,1
1928,1
1920,1
2216,1
1673,0
63,1
2158,0
1505,1
111,1
3726,1
4473,0
514,0
2865,1
1735,1
4358,1
3389,0
4278,0
4021,0
480,1
698,1
2606,0
2327,1
1384,1
1113,0
77,0
3130,0
878,0
252,0
2415,0
1475,1
3981,1
499,1
4622,0
4427,0
1172,1
864,0
279,0
3843,0
336,0
4720,1
1950,0
4184,1
4718,0
1663,0
1893,0
2087,0
4210,0
1250,1
1441,1
2669,1
4639,1
4167,0
1730,1
3952,1
4360,0
180,0
4542,0
3823,0
1775,0
3830,0
3346,0
183,1
4569,0
208,0
4136,0
771,0
1675,0
1273,0
3829,1
4508,0
1853,0
3601,0
2293,0
2348,1
2008,1
146,0
3680,0
4159,0
3978,1
2269,0
4453,1
2929,1
353,0
2261,1
4469,0
4086,1
593,0
3812,0
317,1
3820,1
873,0
2761,1
198,0
1442,0
2743,0
2902,0
3653,1
4652,0
4305,0
949,0
1617,0
1251,1
286,0
2631,0
1179,0
346,1
2796,0
2692,0
4329,1
1366,0
3508,1
4242,0
2227,1
4014,0
4106,0
4152,1
467,0
3880,0
4689,0
2305,1
282,1
590,1
2987,1
680,1
2832,1
3196,1
4328,1
2734,1
2112,1
2780,0
2537,0
3674,1
2110,1
2349,1
1679,1
3755,0
3977,1
2620,0
1890,1
1129,0
4002,0
132,1
734,0
3420,1
3260,1
2891,0
227,1
4180,0
882,1
2205,0
2998,0
892,0
1635,0
1608,0
4667,1
1235,1
4080,0
3403,0
2899,0
1005,1
3570,0
3580,1
1879,0
2718,0
2179,0
3586,1
3902,1
2589,0
3001,0
2244,0
2286,1
3711,0
870,0
860,1
3539,0
1216,0
717,0
3249,0
2646,0
3364,1
1764,1
4594,1
2566,0
3212,0
2319,0
4442,1
4077,0
3759,1
3172,0
3553,1
4698,0
724,0
3270,0
866,1
4370,0
3211,0
1224,0
3210,0
2282,1
2262,1
1322,0
1420,0
2442,0
4648,0
3527,0
1246,1
2992,1
801,1
4696,1
2242,0
1872,0
656,0
1460,0
1565,0
2765,0
850,0
4717,0
2533,0
3302,1
2318,0
1069,0
804,1
791,1
584,0
1057,1
2011,0
167,1
4587,0
169,1
932,0
4504,1
3890,1
274,0
1887,0
3945,1
1371,0
525,1
2818,1
1598,1
4610,1
430,0
2379,1
2287,0
4493,1
1726,1
4362,1
2048,0
3782,0
1241,0
298,1
711,0
4482,1
1309,0
137,0
1091,1
4529,1
1898,0
400,0
3468,1
1816,0
363,0
490,1
273,0
463,0
1654,1
2238,0
2245,0
3698,1
556,0
4281,0
2106,1
3044,0
1153,1
1811,0
797,1
4520,1
4406,1
729,1
59,0
3461,0
909,1
1553,0
1298,0
2941,1
4045,1
3344,0
2529,0
431,0
4677,1
3189,1
139,1
1391,1
3057,0
609,0
4692,1
4135,1
4690,0
1306,0
2668,1
2509,0
3407,0
1620,1
854,0
1844,0
1607,0
4579,1
1519,0
55,1
2288,0
1757,0
893,1
1381,1
2450,0
4166,1
1130,0
3114,0
470,0
3187,0
925,0
1499,1
222,1
4268,1
1592,1
1160,1
1786,1
3792,0
4197,1
2782,1
2966,1
1099,0
4023,0
3996,1
1774,0
3021,0
4347,0
1327,1
4624,1
3984,0
4322,0
1745,0
1476,0
3410,0
2500,1
2514,0
1358,1
2378,0
806,0
2197,0
1779,0
128,0
1518,1
486,1
2545,1
385,1
1526,1
1514,0
4324,1
4355,1
1552,0
4423,0
1724,0
4047,0
1283,1
723,0
1238,1
4430,0
3760,0
4153,0
4134,1
1604,0
4174,1
1722,1
3098,0
2860,0
1187,0
1332,0
803,0
3435,0
4483,1
697,0
1289,1
620,0
3506,1
2903,0
1293,1
1452,0
3814,0
3676,1
4341,0
3099,1
2976,1
3898,1
294,0
2837,0
1018,0
2340,1
1390,0
3388,0
4273,0
953,0
164,0
3474,1
4461,1
1166,0
1424,0
2258,1
2721,1
2007,0
4703,1
2471,1
573,1
1074,0
3097,0
3416,1
4389,1
3682,1
617,0
4107,0
1285,0
237,0
3329,0
660,1
3250,0
48,1
2867,0
1964,0
3471,1
3886,1
1710,0
3469,0
4097,1
3328,1
1034,1
64,0
4445,1
4519,0
1715,0
158,1
1766,0
664,0
570,0
550,0
1763,0
1352,1
2345,0
645,0
352,0
4171,1
766,1
4179,0
2768,0
2905,0
1869,1
2713,0
2945,0
395,0
3444,0
4570,0
464,1
2309,0
1157,0
916,1
4514,0
2127,0
4084,1
4235,1
4617,0
3386,1
3866,0
1220,0
651,1
1975,0
4390,1
662,0
479,0
81,1
2609,0
1489,0
25,1
2688,1
3087,0
3722,1
1084,0
2859,1
2335,0
3975,1
387,0
4108,0
269,0
1692,0
837,1
435,0
1905,0
3248,0
848,0
972,0
531,0
663,1
147,0
4404,1
2130,0
3654,1
3452,0
2028,1
3255,0
958,0
2810,0
3845,1
1255,0
4161,1
1737,0
2178,1
738,1
2462,0
2944,1
251,0
1301,0
460,1
277,0
3200,1
1628,0
761,0
2107,0
3518,0
842,0
836,0
2464,0
4366,0
3183,0
3699,0
2816,1
2310,0
1164,1
564,0
4105,0
2959,0
1858,1
3547,1
4157,1
726,0
632,0
4015,1
3085,0
497,0
895,1
3854,0
2449,0
1583,0
3209,0
402,0
4449,0
1652,0
1555,0
1557,0
3252,0
1496,1
3925,0
3741,0
3976,0
1770,0
2699,1
502,0
2341,0
3776,0
829,0
1170,0
4280,0
915,0
4254,0
1070,0
1247,1
141,0
2292,0
263,1
990,1
3955,0
567,1
1859,0
4421,0
3594,0
4454,0
1606,0
2380,1
1917,0
2149,1
2406,1
562,0
1317,0
1435,0
3488,0
3365,1
1649,0
2105,0
941,0
3961,0
1110,0
3905,0
538,0
3923,0
4602,0
2661,1
1900,0
4555,0
2478,0
4333,1
1438,0
3960,0
1588,1
1094,1
3581,0
3276,1
2840,1
3801,0
1078,0
2368,0
4221,1
3857,0
4085,0
4121,0
4643,1
4016,0
3779,0
2138,1
2241,1
3666,1
702,1
4626,1
1473,1
2365,0
2956,0
4056,1
3771,0
1742,1
228,0
627,0
1230,0
3606,0
3216,1
2742,0
415,1
1784,0
32,0
4022,1
1045,1
4291,0
4115,1
2651,0
4234,1
1353,0
3892,0
2824,1
3390,0
1728,1
261,0
689,0
3119,1
4556,0
1007,1
2597,0
4428,0
2444,0
2096,1
1009,0
1927,0
1933,0
757,0
3100,0
210,1
2465,1
2032,1
2774,0
4311,0
843,0
4376,0
1662,0
4625,1
7,0
580,0
2455,1
3404,1
1048,0
1616,0
2482,1
456,0
4088,1
4420,0
575,1
3304,0
340,0
3137,0
2926,0
3103,0
4231,1
2080,1
3007,0
108,0
4398,0
3399,0
1168,1
